symptom_text,severity,disease,total_weight
"Ninapata dalili zifuatazo: mahusiano ya nje ya ndoa, homa kali, mabaka kwenye koo, misuli kupungua.",MEDIUM,AIDS,21
"Dalili ninazopata ni mabaka kwenye koo, homa kali, mahusiano ya nje ya ndoa, misuli kupungua.",MEDIUM,AIDS,21
"Nina dalili hizi: kupiga chafya mfululizo, baridi na kutetemeka, kikohozi, homa kali, maumivu ya kichwa, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, makohozi, muwasho wa koo, macho kuwa mekundu, shinikizo kwenye sinus, pua kutiririka, msongamano wa pua, maumivu ya kifua, kupoteza uwezo wa kunusa, maumivu ya misuli.",CRITICAL,Common Cold,73
"Ninapata dalili zifuatazo: maumivu ya misuli, kupoteza uwezo wa kunusa, maumivu ya kifua, msongamano wa pua, pua kutiririka, shinikizo kwenye sinus, macho kuwa mekundu, muwasho wa koo, makohozi, kujiskia vibaya kwa ujumla, tezi za limfu kuvimba, maumivu ya kichwa, homa kali, kikohozi, baridi na kutetemeka, kupiga chafya mfululizo.",CRITICAL,Common Cold,73
"Dalili ninazopata ni baridi na kutetemeka, kikohozi, homa kali, maumivu ya kichwa, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, makohozi, muwasho wa koo, macho kuwa mekundu, shinikizo kwenye sinus, pua kutiririka, msongamano wa pua, maumivu ya kifua, kupoteza uwezo wa kunusa, maumivu ya misuli, kupiga chafya mfululizo.",CRITICAL,Common Cold,73
"Nina dalili hizi: uchovu, maumivu ya kukaza misuli, michubuko, unene kupita kiasi, miguu kuvimba, mishipa ya damu kuvimba, mishipa ya damu kuonekana wazi kwenye ndama.",HIGH,Varicose veins,32
"Ninapata dalili zifuatazo: mishipa ya damu kuonekana wazi kwenye ndama, mishipa ya damu kuvimba, miguu kuvimba, unene kupita kiasi, michubuko, maumivu ya kukaza misuli, uchovu.",HIGH,Varicose veins,32
"Dalili ninazopata ni maumivu ya kukaza misuli, michubuko, unene kupita kiasi, miguu kuvimba, mishipa ya damu kuvimba, mishipa ya damu kuonekana wazi kwenye ndama, uchovu.",HIGH,Varicose veins,32
"Nina dalili hizi: maumivu ya viungo, kutapika, uchovu, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano, ini kushindwa kufanya kazi ghafla, kupoteza fahamu, kutokwa damu tumboni.",CRITICAL,Hepatitis E,57
"Ninapata dalili zifuatazo: kutokwa damu tumboni, kupoteza fahamu, ini kushindwa kufanya kazi ghafla, macho kuwa ya njano, maumivu ya tumbo, kukosa hamu ya kula, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, homa kali, uchovu, kutapika, maumivu ya viungo.",CRITICAL,Hepatitis E,57
"Dalili ninazopata ni kutapika, uchovu, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano, ini kushindwa kufanya kazi ghafla, kupoteza fahamu, kutokwa damu tumboni, maumivu ya viungo.",CRITICAL,Hepatitis E,57
"Nina dalili hizi: kuwashwa, kutapika, uchovu, kupungua uzito, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, maumivu ya tumbo.",HIGH,Jaundice,31
"Ninapata dalili zifuatazo: maumivu ya tumbo, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, homa kali, kupungua uzito, uchovu, kutapika, kuwashwa.",HIGH,Jaundice,31
"Dalili ninazopata ni kutapika, uchovu, kupungua uzito, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, maumivu ya tumbo, kuwashwa.",HIGH,Jaundice,31
"Nina dalili hizi: maumivu ya kichwa, udhaifu wa upande mmoja wa mwili, mabadiliko ya ufahamu.",LOW,Paralysis (brain hemorrhage),9
"Ninapata dalili zifuatazo: mabadiliko ya ufahamu, udhaifu wa upande mmoja wa mwili, maumivu ya kichwa.",LOW,Paralysis (brain hemorrhage),9
"Dalili ninazopata ni udhaifu wa upande mmoja wa mwili, mabadiliko ya ufahamu, maumivu ya kichwa.",LOW,Paralysis (brain hemorrhage),9
"Nina dalili hizi: maumivu ya viungo, kutapika, uchovu, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano, ini kushindwa kufanya kazi ghafla, kupoteza fahamu, kutokwa damu tumboni.",CRITICAL,Hepatitis E,62
"Ninapata dalili zifuatazo: kutokwa damu tumboni, kupoteza fahamu, ini kushindwa kufanya kazi ghafla, macho kuwa ya njano, maumivu ya tumbo, kukosa hamu ya kula, kichefuchefu, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, homa kali, uchovu, kutapika, maumivu ya viungo.",CRITICAL,Hepatitis E,62
"Dalili ninazopata ni kutapika, uchovu, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano, ini kushindwa kufanya kazi ghafla, kupoteza fahamu, kutokwa damu tumboni, maumivu ya viungo.",CRITICAL,Hepatitis E,62
"Nina dalili hizi: maumivu ya viungo, kutapika, uchovu, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano, ini kushindwa kufanya kazi ghafla, kupoteza fahamu, kutokwa damu tumboni.",CRITICAL,Hepatitis E,62
"Ninapata dalili zifuatazo: kutokwa damu tumboni, kupoteza fahamu, ini kushindwa kufanya kazi ghafla, macho kuwa ya njano, maumivu ya tumbo, kukosa hamu ya kula, kichefuchefu, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, homa kali, uchovu, kutapika, maumivu ya viungo.",CRITICAL,Hepatitis E,62
"Dalili ninazopata ni kutapika, uchovu, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano, ini kushindwa kufanya kazi ghafla, kupoteza fahamu, kutokwa damu tumboni, maumivu ya viungo.",CRITICAL,Hepatitis E,62
"Nina dalili hizi: maumivu ya viungo, kutapika, uchovu, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano.",HIGH,Hepatitis D,36
"Ninapata dalili zifuatazo: macho kuwa ya njano, maumivu ya tumbo, kukosa hamu ya kula, kichefuchefu, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, uchovu, kutapika, maumivu ya viungo.",HIGH,Hepatitis D,36
"Dalili ninazopata ni kutapika, uchovu, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano, maumivu ya viungo.",HIGH,Hepatitis D,36
"Nina dalili hizi: baridi na kutetemeka, kutapika, uchovu, kupungua uzito, kikohozi, homa kali, kupumua kwa shida, kutokwa na jasho, kukosa hamu ya kula, homa kidogo, macho kuwa ya njano, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, makohozi, maumivu ya kifua, damu kwenye makohozi.",CRITICAL,Tuberculosis,75
"Ninapata dalili zifuatazo: damu kwenye makohozi, maumivu ya kifua, makohozi, kujiskia vibaya kwa ujumla, tezi za limfu kuvimba, macho kuwa ya njano, homa kidogo, kukosa hamu ya kula, kutokwa na jasho, kupumua kwa shida, homa kali, kikohozi, kupungua uzito, uchovu, kutapika, baridi na kutetemeka.",CRITICAL,Tuberculosis,75
"Dalili ninazopata ni kutapika, uchovu, kupungua uzito, kikohozi, homa kali, kupumua kwa shida, kutokwa na jasho, kukosa hamu ya kula, homa kidogo, macho kuwa ya njano, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, makohozi, maumivu ya kifua, damu kwenye makohozi, baridi na kutetemeka.",CRITICAL,Tuberculosis,75
"Nina dalili hizi: kuwashwa, upele wa ngozi, uchovu, uchovu na hali ya kutokuwa na nguvu, homa kali, maumivu ya kichwa, homa kidogo, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, madoa mekundu mwilini.",CRITICAL,Chicken pox,40
"Ninapata dalili zifuatazo: madoa mekundu mwilini, kujiskia vibaya kwa ujumla, tezi za limfu kuvimba, homa kidogo, maumivu ya kichwa, homa kali, uchovu na hali ya kutokuwa na nguvu, uchovu, upele wa ngozi, kuwashwa.",CRITICAL,Chicken pox,40
"Dalili ninazopata ni upele wa ngozi, uchovu, uchovu na hali ya kutokuwa na nguvu, homa kali, maumivu ya kichwa, homa kidogo, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, madoa mekundu mwilini, kuwashwa.",CRITICAL,Chicken pox,40
"Nina dalili hizi: maumivu ya mgongo, maumivu ya shingo, kizunguzungu, kupoteza usawa.",MEDIUM,Cervical spondylosis,16
"Ninapata dalili zifuatazo: kupoteza usawa, kizunguzungu, maumivu ya shingo, maumivu ya mgongo.",MEDIUM,Cervical spondylosis,16
"Dalili ninazopata ni maumivu ya shingo, kizunguzungu, kupoteza usawa, maumivu ya mgongo.",MEDIUM,Cervical spondylosis,16
"Nina dalili hizi: choo kigumu au kufunga choo, maumivu wakati wa kujisaidia, maumivu kwenye eneo la haja kubwa, choo chenye damu, muwasho kwenye njia ya haja kubwa.",HIGH,Dimorphic hemmorhoids(piles),26
"Ninapata dalili zifuatazo: muwasho kwenye njia ya haja kubwa, choo chenye damu, maumivu kwenye eneo la haja kubwa, maumivu wakati wa kujisaidia, choo kigumu au kufunga choo.",HIGH,Dimorphic hemmorhoids(piles),26
"Dalili ninazopata ni maumivu wakati wa kujisaidia, maumivu kwenye eneo la haja kubwa, choo chenye damu, muwasho kwenye njia ya haja kubwa, choo kigumu au kufunga choo.",HIGH,Dimorphic hemmorhoids(piles),26
"Nina dalili hizi: misuli kupungua, mabaka kwenye koo, homa kali.",MEDIUM,AIDS,16
"Ninapata dalili zifuatazo: homa kali, mabaka kwenye koo, misuli kupungua.",MEDIUM,AIDS,16
"Dalili ninazopata ni mabaka kwenye koo, homa kali, misuli kupungua.",MEDIUM,AIDS,16
"Nina dalili hizi: kuwashwa, upele wa ngozi, maumivu ya tumbo, kuungua wakati wa kukojoa, kutokwa damu kidogo, kukojoa.",MEDIUM,Drug Reaction,15
"Ninapata dalili zifuatazo: kukojoa, kutokwa damu kidogo, kuungua wakati wa kukojoa, maumivu ya tumbo, upele wa ngozi, kuwashwa.",MEDIUM,Drug Reaction,15
"Dalili ninazopata ni upele wa ngozi, maumivu ya tumbo, kuungua wakati wa kukojoa, kutokwa damu kidogo, kukojoa, kuwashwa.",MEDIUM,Drug Reaction,15
"Nina dalili hizi: maumivu ya viungo, maumivu ya shingo, maumivu ya goti, maumivu ya kiungo cha nyonga, viungo kuvimba, kutembea kwa maumivu.",MEDIUM,Osteoarthristis,20
"Ninapata dalili zifuatazo: kutembea kwa maumivu, viungo kuvimba, maumivu ya kiungo cha nyonga, maumivu ya goti, maumivu ya shingo, maumivu ya viungo.",MEDIUM,Osteoarthristis,20
"Dalili ninazopata ni maumivu ya shingo, maumivu ya goti, maumivu ya kiungo cha nyonga, viungo kuvimba, kutembea kwa maumivu, maumivu ya viungo.",MEDIUM,Osteoarthristis,20
"Nina dalili hizi: maumivu ya viungo, kutapika, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, kuharisha, homa kidogo, macho kuwa ya njano, maumivu ya misuli.",CRITICAL,hepatitis A,45
"Ninapata dalili zifuatazo: maumivu ya misuli, macho kuwa ya njano, homa kidogo, kuharisha, maumivu ya tumbo, kukosa hamu ya kula, kichefuchefu, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, kutapika, maumivu ya viungo.",CRITICAL,hepatitis A,45
"Dalili ninazopata ni kutapika, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, kuharisha, homa kidogo, macho kuwa ya njano, maumivu ya misuli, maumivu ya viungo.",CRITICAL,hepatitis A,45
"Nina dalili hizi: baridi na kutetemeka, kutapika, uchovu, kupungua uzito, kikohozi, homa kali, kupumua kwa shida, kutokwa na jasho, kukosa hamu ya kula, homa kidogo, macho kuwa ya njano, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, makohozi, maumivu ya kifua, damu kwenye makohozi.",CRITICAL,Tuberculosis,75
"Ninapata dalili zifuatazo: damu kwenye makohozi, maumivu ya kifua, makohozi, kujiskia vibaya kwa ujumla, tezi za limfu kuvimba, macho kuwa ya njano, homa kidogo, kukosa hamu ya kula, kutokwa na jasho, kupumua kwa shida, homa kali, kikohozi, kupungua uzito, uchovu, kutapika, baridi na kutetemeka.",CRITICAL,Tuberculosis,75
"Dalili ninazopata ni kutapika, uchovu, kupungua uzito, kikohozi, homa kali, kupumua kwa shida, kutokwa na jasho, kukosa hamu ya kula, homa kidogo, macho kuwa ya njano, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, makohozi, maumivu ya kifua, damu kwenye makohozi, baridi na kutetemeka.",CRITICAL,Tuberculosis,75
"Nina dalili hizi: kutapika, maumivu ya kichwa, udhaifu wa upande mmoja wa mwili, mabadiliko ya ufahamu.",MEDIUM,Paralysis (brain hemorrhage),14
"Ninapata dalili zifuatazo: mabadiliko ya ufahamu, udhaifu wa upande mmoja wa mwili, maumivu ya kichwa, kutapika.",MEDIUM,Paralysis (brain hemorrhage),14
"Dalili ninazopata ni maumivu ya kichwa, udhaifu wa upande mmoja wa mwili, mabadiliko ya ufahamu, kutapika.",MEDIUM,Paralysis (brain hemorrhage),14
"Nina dalili hizi: kuwashwa, upele wa ngozi, uchovu, uchovu na hali ya kutokuwa na nguvu, homa kali, kukosa hamu ya kula, homa kidogo, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, madoa mekundu mwilini.",CRITICAL,Chicken pox,41
"Ninapata dalili zifuatazo: madoa mekundu mwilini, kujiskia vibaya kwa ujumla, tezi za limfu kuvimba, homa kidogo, kukosa hamu ya kula, homa kali, uchovu na hali ya kutokuwa na nguvu, uchovu, upele wa ngozi, kuwashwa.",CRITICAL,Chicken pox,41
"Dalili ninazopata ni upele wa ngozi, uchovu, uchovu na hali ya kutokuwa na nguvu, homa kali, kukosa hamu ya kula, homa kidogo, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, madoa mekundu mwilini, kuwashwa.",CRITICAL,Chicken pox,41
"Nina dalili hizi: baridi na kutetemeka, uchovu, kikohozi, homa kali, kupumua kwa shida, kutokwa na jasho, makohozi, maumivu ya kifua, mapigo ya moyo kwenda haraka, makohozi yenye rangi ya kutu.",CRITICAL,Pneumonia,46
"Ninapata dalili zifuatazo: makohozi yenye rangi ya kutu, mapigo ya moyo kwenda haraka, maumivu ya kifua, makohozi, kutokwa na jasho, kupumua kwa shida, homa kali, kikohozi, uchovu, baridi na kutetemeka.",CRITICAL,Pneumonia,46
"Dalili ninazopata ni uchovu, kikohozi, homa kali, kupumua kwa shida, kutokwa na jasho, makohozi, maumivu ya kifua, mapigo ya moyo kwenda haraka, makohozi yenye rangi ya kutu, baridi na kutetemeka.",CRITICAL,Pneumonia,46
"Nina dalili hizi: kuungua wakati wa kukojoa, usumbufu wa kibofu, harufu mbaya, mkojo, kuhisi haja ya kukojoa kila mara.",MEDIUM,Urinary tract infection,16
"Ninapata dalili zifuatazo: kuhisi haja ya kukojoa kila mara, mkojo, harufu mbaya, usumbufu wa kibofu, kuungua wakati wa kukojoa.",MEDIUM,Urinary tract infection,16
"Dalili ninazopata ni usumbufu wa kibofu, harufu mbaya, mkojo, kuhisi haja ya kukojoa kila mara, kuungua wakati wa kukojoa.",MEDIUM,Urinary tract infection,16
"Nina dalili hizi: kuwashwa, uchovu, uchovu na hali ya kutokuwa na nguvu, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kukosa hamu ya kula, mkojo wa njano, macho kuwa ya njano, kujiskia vibaya kwa ujumla, kupokea kuongezewa damu, kupokea sindano zisizo salama.",HIGH,Hepatitis B,39
"Ninapata dalili zifuatazo: kupokea sindano zisizo salama, kupokea kuongezewa damu, kujiskia vibaya kwa ujumla, macho kuwa ya njano, mkojo wa njano, kukosa hamu ya kula, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, uchovu na hali ya kutokuwa na nguvu, uchovu, kuwashwa.",HIGH,Hepatitis B,39
"Dalili ninazopata ni uchovu, uchovu na hali ya kutokuwa na nguvu, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kukosa hamu ya kula, mkojo wa njano, macho kuwa ya njano, kujiskia vibaya kwa ujumla, kupokea kuongezewa damu, kupokea sindano zisizo salama, kuwashwa.",HIGH,Hepatitis B,39
"Nina dalili hizi: maumivu ya viungo, kutapika, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, kuharisha, homa kidogo, macho kuwa ya njano, maumivu ya misuli.",CRITICAL,hepatitis A,45
"Ninapata dalili zifuatazo: maumivu ya misuli, macho kuwa ya njano, homa kidogo, kuharisha, maumivu ya tumbo, kukosa hamu ya kula, kichefuchefu, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, kutapika, maumivu ya viungo.",CRITICAL,hepatitis A,45
"Dalili ninazopata ni kutapika, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, kuharisha, homa kidogo, macho kuwa ya njano, maumivu ya misuli, maumivu ya viungo.",CRITICAL,hepatitis A,45
"Nina dalili hizi: uchovu, mabadiliko ya hisia, kupungua uzito, kutotulia, kutokwa na jasho, kuharisha, mapigo ya moyo kwenda haraka, njaa kupita kiasi, udhaifu wa misuli, kukereka kwa urahisi, hedhi isiyo ya kawaida.",CRITICAL,Hyperthyroidism,43
"Ninapata dalili zifuatazo: hedhi isiyo ya kawaida, kukereka kwa urahisi, udhaifu wa misuli, njaa kupita kiasi, mapigo ya moyo kwenda haraka, kuharisha, kutokwa na jasho, kutotulia, kupungua uzito, mabadiliko ya hisia, uchovu.",CRITICAL,Hyperthyroidism,43
"Dalili ninazopata ni mabadiliko ya hisia, kupungua uzito, kutotulia, kutokwa na jasho, kuharisha, mapigo ya moyo kwenda haraka, njaa kupita kiasi, udhaifu wa misuli, kukereka kwa urahisi, hedhi isiyo ya kawaida, uchovu.",CRITICAL,Hyperthyroidism,43
"Nina dalili hizi: kutapika, kupumua kwa shida, kutokwa na jasho, maumivu ya kifua.",MEDIUM,Heart attack,19
"Ninapata dalili zifuatazo: maumivu ya kifua, kutokwa na jasho, kupumua kwa shida, kutapika.",MEDIUM,Heart attack,19
"Dalili ninazopata ni kupumua kwa shida, kutokwa na jasho, maumivu ya kifua, kutapika.",MEDIUM,Heart attack,19
"Nina dalili hizi: kutapika, kupumua kwa shida, kutokwa na jasho, maumivu ya kifua.",MEDIUM,Heart attack,19
"Ninapata dalili zifuatazo: maumivu ya kifua, kutokwa na jasho, kupumua kwa shida, kutapika.",MEDIUM,Heart attack,19
"Dalili ninazopata ni kupumua kwa shida, kutokwa na jasho, maumivu ya kifua, kutapika.",MEDIUM,Heart attack,19
"Nina dalili hizi: asidi tumboni, kutokula vizuri au kutosaga chakula, maumivu ya kichwa, kuona kwa ukungu na kupotoshwa, njaa kupita kiasi, shingo kuwa ngumu, huzuni, matatizo ya kuona.",HIGH,Migraine,30
"Ninapata dalili zifuatazo: matatizo ya kuona, huzuni, shingo kuwa ngumu, njaa kupita kiasi, kuona kwa ukungu na kupotoshwa, maumivu ya kichwa, kutokula vizuri au kutosaga chakula, asidi tumboni.",HIGH,Migraine,30
"Dalili ninazopata ni kutokula vizuri au kutosaga chakula, maumivu ya kichwa, kuona kwa ukungu na kupotoshwa, njaa kupita kiasi, shingo kuwa ngumu, huzuni, matatizo ya kuona, asidi tumboni.",HIGH,Migraine,30
"Nina dalili hizi: upele wa ngozi, baridi na kutetemeka, maumivu ya viungo, kutapika, uchovu, maumivu ya kichwa, kichefuchefu, kukosa hamu ya kula, maumivu nyuma ya macho, maumivu ya mgongo, kujiskia vibaya kwa ujumla, maumivu ya misuli, madoa mekundu mwilini.",CRITICAL,Dengue,48
"Ninapata dalili zifuatazo: madoa mekundu mwilini, maumivu ya misuli, kujiskia vibaya kwa ujumla, maumivu ya mgongo, maumivu nyuma ya macho, kukosa hamu ya kula, kichefuchefu, maumivu ya kichwa, uchovu, kutapika, maumivu ya viungo, baridi na kutetemeka, upele wa ngozi.",CRITICAL,Dengue,48
"Dalili ninazopata ni baridi na kutetemeka, maumivu ya viungo, kutapika, uchovu, maumivu ya kichwa, kichefuchefu, kukosa hamu ya kula, maumivu nyuma ya macho, maumivu ya mgongo, kujiskia vibaya kwa ujumla, maumivu ya misuli, madoa mekundu mwilini, upele wa ngozi.",CRITICAL,Dengue,48
"Nina dalili hizi: kutapika, kutokula vizuri au kutosaga chakula, kukosa hamu ya kula, maumivu ya tumbo, kupitisha gesi, kuwashwa ndani ya mwili.",HIGH,Peptic ulcer diseae,27
"Ninapata dalili zifuatazo: kuwashwa ndani ya mwili, kupitisha gesi, maumivu ya tumbo, kukosa hamu ya kula, kutokula vizuri au kutosaga chakula, kutapika.",HIGH,Peptic ulcer diseae,27
"Dalili ninazopata ni kutokula vizuri au kutosaga chakula, kukosa hamu ya kula, maumivu ya tumbo, kupitisha gesi, kuwashwa ndani ya mwili, kutapika.",HIGH,Peptic ulcer diseae,27
"Nina dalili hizi: uchovu, kuongezeka uzito, mikono na miguu kuwa baridi, uchovu na hali ya kutokuwa na nguvu, kizunguzungu, uso na macho kuvimba, tezi ya shingo kuongezeka, kucha zinazovunjika kwa urahisi, mwisho wa mikono au miguu kuvimba, huzuni, kukereka kwa urahisi, hedhi isiyo ya kawaida.",CRITICAL,Hypothyroidism,50
"Ninapata dalili zifuatazo: hedhi isiyo ya kawaida, kukereka kwa urahisi, huzuni, mwisho wa mikono au miguu kuvimba, kucha zinazovunjika kwa urahisi, tezi ya shingo kuongezeka, uso na macho kuvimba, kizunguzungu, uchovu na hali ya kutokuwa na nguvu, mikono na miguu kuwa baridi, kuongezeka uzito, uchovu.",CRITICAL,Hypothyroidism,50
"Dalili ninazopata ni kuongezeka uzito, mikono na miguu kuwa baridi, uchovu na hali ya kutokuwa na nguvu, kizunguzungu, uso na macho kuvimba, tezi ya shingo kuongezeka, kucha zinazovunjika kwa urahisi, mwisho wa mikono au miguu kuvimba, huzuni, kukereka kwa urahisi, hedhi isiyo ya kawaida, uchovu.",CRITICAL,Hypothyroidism,50
"Nina dalili hizi: kutapika, udhaifu wa upande mmoja wa mwili, mabadiliko ya ufahamu.",LOW,Paralysis (brain hemorrhage),11
"Ninapata dalili zifuatazo: mabadiliko ya ufahamu, udhaifu wa upande mmoja wa mwili, kutapika.",LOW,Paralysis (brain hemorrhage),11
"Dalili ninazopata ni udhaifu wa upande mmoja wa mwili, mabadiliko ya ufahamu, kutapika.",LOW,Paralysis (brain hemorrhage),11
"Nina dalili hizi: maumivu ya kichwa, kichefuchefu, kuhisi vitu vinazunguka, kupoteza usawa, kutokuwa na uthabiti.",MEDIUM,(vertigo) Paroymsal  Positional Vertigo,22
"Ninapata dalili zifuatazo: kutokuwa na uthabiti, kupoteza usawa, kuhisi vitu vinazunguka, kichefuchefu, maumivu ya kichwa.",MEDIUM,(vertigo) Paroymsal  Positional Vertigo,22
"Dalili ninazopata ni kichefuchefu, kuhisi vitu vinazunguka, kupoteza usawa, kutokuwa na uthabiti, maumivu ya kichwa.",MEDIUM,(vertigo) Paroymsal  Positional Vertigo,22
"Nina dalili hizi: kuwashwa, upele wa ngozi, mapele kwenye ngozi, mabadiliko ya rangi ya ngozi, mabaka.",LOW,Fungal infection,8
"Ninapata dalili zifuatazo: mabaka, mabadiliko ya rangi ya ngozi, mapele kwenye ngozi, upele wa ngozi, kuwashwa.",LOW,Fungal infection,8
"Dalili ninazopata ni upele wa ngozi, mapele kwenye ngozi, mabadiliko ya rangi ya ngozi, mabaka, kuwashwa.",LOW,Fungal infection,8
"Nina dalili hizi: uchovu, kuongezeka uzito, mikono na miguu kuwa baridi, mabadiliko ya hisia, uchovu na hali ya kutokuwa na nguvu, kizunguzungu, uso na macho kuvimba, tezi ya shingo kuongezeka, kucha zinazovunjika kwa urahisi, mwisho wa mikono au miguu kuvimba, huzuni, kukereka kwa urahisi, hedhi isiyo ya kawaida.",CRITICAL,Hypothyroidism,53
"Ninapata dalili zifuatazo: hedhi isiyo ya kawaida, kukereka kwa urahisi, huzuni, mwisho wa mikono au miguu kuvimba, kucha zinazovunjika kwa urahisi, tezi ya shingo kuongezeka, uso na macho kuvimba, kizunguzungu, uchovu na hali ya kutokuwa na nguvu, mabadiliko ya hisia, mikono na miguu kuwa baridi, kuongezeka uzito, uchovu.",CRITICAL,Hypothyroidism,53
"Dalili ninazopata ni kuongezeka uzito, mikono na miguu kuwa baridi, mabadiliko ya hisia, uchovu na hali ya kutokuwa na nguvu, kizunguzungu, uso na macho kuvimba, tezi ya shingo kuongezeka, kucha zinazovunjika kwa urahisi, mwisho wa mikono au miguu kuvimba, huzuni, kukereka kwa urahisi, hedhi isiyo ya kawaida, uchovu.",CRITICAL,Hypothyroidism,53
"Nina dalili hizi: uchovu, mabadiliko ya hisia, kupungua uzito, kutotulia, kutokwa na jasho, kuharisha, njaa kupita kiasi, udhaifu wa misuli, kukereka kwa urahisi, hedhi isiyo ya kawaida.",HIGH,Hyperthyroidism,38
"Ninapata dalili zifuatazo: hedhi isiyo ya kawaida, kukereka kwa urahisi, udhaifu wa misuli, njaa kupita kiasi, kuharisha, kutokwa na jasho, kutotulia, kupungua uzito, mabadiliko ya hisia, uchovu.",HIGH,Hyperthyroidism,38
"Dalili ninazopata ni mabadiliko ya hisia, kupungua uzito, kutotulia, kutokwa na jasho, kuharisha, njaa kupita kiasi, udhaifu wa misuli, kukereka kwa urahisi, hedhi isiyo ya kawaida, uchovu.",HIGH,Hyperthyroidism,38
"Nina dalili hizi: kutapika, kupumua kwa shida, kutokwa na jasho, maumivu ya kifua.",MEDIUM,Heart attack,19
"Ninapata dalili zifuatazo: maumivu ya kifua, kutokwa na jasho, kupumua kwa shida, kutapika.",MEDIUM,Heart attack,19
"Dalili ninazopata ni kupumua kwa shida, kutokwa na jasho, maumivu ya kifua, kutapika.",MEDIUM,Heart attack,19
"Nina dalili hizi: maumivu ya tumbo, asidi tumboni, vidonda kwenye ulimi, kutapika, kikohozi, maumivu ya kifua.",HIGH,GERD,28
"Ninapata dalili zifuatazo: maumivu ya kifua, kikohozi, kutapika, vidonda kwenye ulimi, asidi tumboni, maumivu ya tumbo.",HIGH,GERD,28
"Dalili ninazopata ni asidi tumboni, vidonda kwenye ulimi, kutapika, kikohozi, maumivu ya kifua, maumivu ya tumbo.",HIGH,GERD,28
"Nina dalili hizi: kutapika, maumivu ya kichwa, udhaifu wa upande mmoja wa mwili, mabadiliko ya ufahamu.",MEDIUM,Paralysis (brain hemorrhage),14
"Ninapata dalili zifuatazo: mabadiliko ya ufahamu, udhaifu wa upande mmoja wa mwili, maumivu ya kichwa, kutapika.",MEDIUM,Paralysis (brain hemorrhage),14
"Dalili ninazopata ni maumivu ya kichwa, udhaifu wa upande mmoja wa mwili, mabadiliko ya ufahamu, kutapika.",MEDIUM,Paralysis (brain hemorrhage),14
"Nina dalili hizi: uchovu, ngozi kuwa ya njano, kichefuchefu, kukosa hamu ya kula, macho kuwa ya njano, historia ya ugonjwa katika familia.",HIGH,Hepatitis C,25
"Ninapata dalili zifuatazo: historia ya ugonjwa katika familia, macho kuwa ya njano, kukosa hamu ya kula, kichefuchefu, ngozi kuwa ya njano, uchovu.",HIGH,Hepatitis C,25
